place,number,name,laps,minlap,avglap,lastlap,lap1,lap2,lap3,lap4,lap5,total
1st,281,Terence Stockil,3,0:19:16.8,0:19:32.1,0:19:16.8,0:19:50.1,0:19:29.4,0:19:16.8, , ,0:58:36.4
2nd,2096,Zac Dillon,3,0:19:09.2,0:19:32.4,0:19:09.2,0:19:43.3,0:19:44.7,0:19:09.2, , ,0:58:37.4
3rd,3330,Paul Graber,3,0:19:37.7,0:19:53.1,0:20:11.9,0:19:37.7,0:19:49.7,0:20:11.9, , ,0:59:39.5
4th,3341,Denis Fung,3,0:19:41.1,0:20:07.8,0:20:24.4,0:19:41.1,0:20:17.9,0:20:24.4, , ,1:00:23.5
5th,571,Angus Quinn,3,0:19:32.4,0:20:08.0,0:20:34.2,0:19:32.4,0:20:17.5,0:20:34.2, , ,1:00:24.1
6th,3094,Thomas King,3,0:20:11.1,0:20:20.4,0:20:16.8,0:20:11.1,0:20:33.3,0:20:16.8, , ,1:01:01.2
7th,3096,Tom Garnham,3,0:20:14.5,0:20:21.1,0:20:19.8,0:20:14.5,0:20:29.1,0:20:19.8, , ,1:01:03.5
8th,311,Peter Mcmahon,3,0:20:09.8,0:20:25.3,0:20:44.8,0:20:09.8,0:20:21.3,0:20:44.8, , ,1:01:15.9
9th,350,Dallas Barham,3,0:20:25.4,0:20:37.8,0:20:25.4,0:21:01.1,0:20:26.7,0:20:25.4, , ,1:01:53.4
10th,300,Steven Pryor,3,0:20:33.7,0:20:49.2,0:21:03.5,0:20:33.7,0:20:50.6,0:21:03.5, , ,1:02:27.8
11th,562,Ben Bohringer,3,0:20:29.1,0:20:55.2,0:20:29.1,0:20:58.0,0:21:18.5,0:20:29.1, , ,1:02:45.7
12th,210,Sam Mackenzie,3,0:20:56.5,0:21:05.5,0:20:56.5,0:21:18.6,0:21:01.4,0:20:56.5, , ,1:03:16.6
13th,334,John Richardson,3,0:20:37.0,0:21:16.8,0:21:50.8,0:20:37.0,0:21:22.7,0:21:50.8, , ,1:03:50.6
14th,336,Waz Turnbull,3,0:20:32.9,0:21:25.3,0:22:04.5,0:20:32.9,0:21:38.6,0:22:04.5, , ,1:04:16.1
15th,245,Michael Moy,3,0:21:33.3,0:21:54.6,0:22:12.6,0:21:57.8,0:21:33.3,0:22:12.6, , ,1:05:43.8
16th,313,Shane Bowen,3,0:21:46.7,0:22:00.6,0:22:01.4,0:21:46.7,0:22:13.8,0:22:01.4, , ,1:06:02.0
17th,3329,Peter Bakewell,3,0:22:03.9,0:22:11.4,0:22:25.5,0:22:04.7,0:22:03.9,0:22:25.5, , ,1:06:34.2
18th,303,Sir Dean Kozlic,3,0:21:33.8,0:22:17.5,0:22:36.0,0:21:33.8,0:22:42.8,0:22:36.0, , ,1:06:52.7
19th,3225,Mark Russell,3,0:20:36.4,0:22:19.9,0:23:34.3,0:20:36.4,0:22:49.0,0:23:34.3, , ,1:06:59.8
20th,397,Stuart Street,3,0:21:36.6,0:23:10.7,0:24:24.2,0:21:36.6,0:23:31.4,0:24:24.2, , ,1:09:32.2
21st,550,Mark Donaldson,3,0:23:09.0,0:23:19.8,0:23:27.9,0:23:22.6,0:23:09.0,0:23:27.9, , ,1:09:59.6
22nd,388,Jason Steele,3,0:24:07.4,0:25:06.2,0:25:42.0,0:24:07.4,0:25:29.2,0:25:42.0, , ,1:15:18.7
23rd,326,Gordon Lewins,3,0:24:56.0,0:25:31.2,0:25:53.8,0:24:56.0,0:25:43.9,0:25:53.8, , ,1:16:33.8
24th,566,Mathew Verschelden,3,0:23:57.2,0:25:49.5,0:26:41.2,0:23:57.2,0:26:50.1,0:26:41.2, , ,1:17:28
