"Club XC Round 3","","","","","","","","",""
"22/05/2022","","","","","","","","","",""
"Category Rank","Bib","Name","Laps Completed","Race Time","Lap1","Lap2","Lap3","Lap4","Lap5","Lap6"
"A","","","","","","","","","",""
"1","1","CAMERON WINFIELD","5","00:57:56,9","0:11:19,6","0:11:59,8","0:12:04,2","0:11:05,4","0:11:28,0",""
"2","18","BLAKE SUTCLIFFE","5","00:58:30,7","0:11:20,2","0:11:59,9","0:12:03,9","0:11:26,8","0:11:40,1",""
"3","4","LUKE BRAME","5","00:58:52,6","0:11:19,2","0:11:59,8","0:12:04,4","0:12:00,2","0:11:29,2",""
"4","23","DAVID WINFIELD","5","01:00:03,2","0:11:50,2","0:11:56,9","0:11:59,8","0:11:59,5","0:12:17,0",""
"5","44","SIMON EBBELING","5","01:03:44,5","0:12:21,4","0:12:34,8","0:12:45,8","0:12:58,8","0:13:03,9",""
"6","12","PETER WAKEFIELD","5","01:04:20,7","0:12:42,0","0:12:39,7","0:13:02,4","0:13:12,2","0:12:44,7",""
"7","16","STEPHEN TOMCZYK","5","01:10:47,9","0:12:34,8","0:12:55,5","0:13:06,7","0:13:16,2","0:18:54,9",""
"8","3","GILLES GENGOUX","5","01:17:51,1","0:14:46,3","0:15:22,2","0:15:53,7","0:16:01,5","0:15:47,6",""
"WA","","","","","","","","","",""
"1","40","CAITLYN BRAZIER","4","00:57:07,8","0:13:53,6","0:14:27,3","0:14:29,8","0:14:17,3","",""
"2","43","CATHERINE WOOD","4","00:57:56,9","0:14:26,2","0:14:37,0","0:14:15,6","0:14:38,3","",""
"B","","","","","","","","","",""
"1","126","CRAIG STOFMEEL","4","00:53:09,6","0:13:06,0","0:13:20,3","0:13:29,3","0:13:14,1","",""
"2","105","PETER TYDEMAN","4","00:53:47,2","0:13:14,8","0:13:15,6","0:13:36,0","0:13:41,0","",""
"3","101","MATTHEW BROWN","4","00:56:18,7","0:13:13,4","0:14:04,4","0:14:31,0","0:14:29,9","",""
"4","102","MATTHEW ROBERTS","4","01:03:08,7","0:14:24,0","0:16:08,8","0:16:28,7","0:16:07,4","",""
"WB","","","","","","","","","",""
"1","180","FIONA DEISEL","3","00:49:09,4","0:16:23,3","0:16:21,5","0:16:24,7","","",""
"1"
"Club XC Round 3","","","","","","","","",""
"22/05/2022","","","","","","","","","",""
"Category Rank","Bib","Name","Laps Completed","Race Time","Lap1","Lap2","Lap3","Lap4","Lap5","Lap6"
"C","","","","","","","","","",""
"1","210","ANTHONY DEISEL","3","00:39:38,5","0:13:01,6","0:13:08,9","0:13:28,1","","",""
"2","211","DENIS FUNG","3","00:41:24,0","0:13:58,3","0:13:45,1","0:13:40,7","","",""
"3","251","GRANT SOLOMON","3","00:42:22,0","0:14:08,0","0:14:32,9","0:13:41,2","","",""
"4","231","MATT PADULA","3","00:42:36,1","0:14:07,4","0:14:01,5","0:14:27,3","","",""
"5","222","MARK GREEN","3","00:42:49,2","0:14:28,9","0:14:15,2","0:14:05,2","","",""
"6","206","EVAN CRATCHLEY","3","00:43:23,2","0:14:06,5","0:14:33,6","0:14:43,2","","",""
"7","205","JASON FLEMING","3","00:44:16,0","0:14:19,7","0:14:42,7","0:15:13,7","","",""
"8","213","ROB TWYEROULD","3","00:44:40,4","0:14:16,5","0:15:08,0","0:15:16,0","","",""
"9","237","JOHN OPPY","3","00:44:47,5","0:14:41,4","0:14:42,6","0:15:23,6","","",""
"10","257","ANDREW PARBERY","3","00:45:12,1","0:13:57,4","0:15:01,7","0:16:13,1","","",""
